,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
138,24,18,11,20,11,0.0,70,0 days 01:37:31.767000,5851767.0,58.0,19.0,0 days 00:01:19.352000,197.847,1
139,24,17,9,10,12,0.0,70,0 days 01:37:35.526000,5855526.0,51.0,8.0,0 days 00:01:18.201000,200.75900000000001,1
140,24,7,5,18,13,0.0,69,0 days 00:00:00,,34.0,13.0,0 days 00:01:18.620000,199.68900000000002,11
141,24,21,10,17,14,0.0,51,0 days 00:00:00,,41.0,16.0,0 days 00:01:19.066000,198.563,20
142,24,6,3,12,15,0.0,46,0 days 00:00:00,,30.0,14.0,0 days 00:01:18.784000,199.273,3
143,24,4,4,4,16,0.0,44,0 days 00:00:00,,16.0,9.0,0 days 00:01:18.225000,200.697,20
144,24,12,4,15,17,0.0,43,0 days 00:00:00,,16.0,18.0,0 days 00:01:19.239000,198.12900000000002,23
145,24,8,6,3,18,0.0,19,0 days 00:00:00,,14.0,1.0,0 days 00:01:17.387000,202.87099999999998,4
146,24,1,1,1,19,0.0,19,0 days 00:00:00,,4.0,3.0,0 days 00:01:17.506000,202.55900000000003,4
147,24,16,10,16,20,0.0,13,0 days 00:00:00,,7.0,20.0,0 days 00:01:20.666000,194.62400000000002,6
148,25,13,6,2,1,10.0,70,0 days 01:31:50.245000,5510245.0,20.0,2.0,0 days 00:01:16.729000,206.956,1
149,25,8,6,1,2,8.0,70,0 days 01:32:08.229000,5528229.0,16.0,1.0,0 days 00:01:16.630000,207.22400000000002,1
150,25,15,7,4,3,6.0,70,0 days 01:32:18.495000,5538495.0,12.0,7.0,0 days 00:01:17.567000,204.72099999999998,1
151,25,5,1,10,4,5.0,70,0 days 01:32:19.174000,5539174.0,46.0,3.0,0 days 00:01:17.134000,205.87,1
152,25,9,2,5,5,4.0,70,0 days 01:32:20.757000,5540757.0,16.0,4.0,0 days 00:01:17.172000,205.768,1
153,25,17,9,6,6,3.0,70,0 days 01:32:30.549000,5550549.0,22.0,6.0,0 days 00:01:17.507000,204.87900000000002,1
154,25,12,4,9,7,2.0,70,0 days 01:32:31.278000,5551278.0,24.0,10.0,0 days 00:01:17.758000,204.218,1
155,25,4,4,3,8,1.0,70,0 days 01:32:33.617000,5553617.0,39.0,8.0,0 days 00:01:17.641000,204.525,1
156,25,14,9,7,9,0.0,70,0 days 01:32:41.266000,5561266.0,23.0,12.0,0 days 00:01:17.818000,204.06,1
157,25,1,1,13,10,0.0,70,0 days 01:32:44.783000,5564783.0,40.0,5.0,0 days 00:01:17.453000,205.02200000000002,1
158,25,10,7,8,11,0.0,70,0 days 01:32:47.945000,5567945.0,45.0,13.0,0 days 00:01:17.836000,204.013,1
159,25,20,5,12,12,0.0,70,0 days 01:32:48.310000,5568310.0,36.0,11.0,0 days 00:01:17.760000,204.21200000000002,1
160,25,2,2,11,13,0.0,70,0 days 01:32:52.324000,5572324.0,46.0,9.0,0 days 00:01:17.716000,204.328,1
161,25,22,11,20,14,0.0,69,0 days 00:00:00,,54.0,14.0,0 days 00:01:17.969000,203.665,11
162,25,6,3,15,15,0.0,69,0 days 00:00:00,,60.0,15.0,0 days 00:01:18.054000,203.44299999999998,11
163,25,3,3,19,16,0.0,69,0 days 00:00:00,,38.0,17.0,0 days 00:01:18.311000,202.77599999999998,11
164,25,7,5,14,17,0.0,69,0 days 00:00:00,,28.0,16.0,0 days 00:01:18.216000,203.02200000000002,11
165,25,21,10,17,18,0.0,69,0 days 00:00:00,,53.0,19.0,0 days 00:01:18.557000,202.141,11
166,25,16,10,18,19,0.0,69,0 days 00:00:00,,41.0,18.0,0 days 00:01:18.462000,202.385,11
167,25,18,11,16,20,0.0,16,0 days 00:00:00,,15.0,20.0,0 days 00:01:20.876000,196.345,4
168,26,1,1,4,1,10.0,60,0 days 01:39:09.440000,5949440.0,16.0,3.0,0 days 00:01:32.817000,199.398,1
169,26,2,2,5,2,8.0,60,0 days 01:40:18.017000,6018017.0,21.0,2.0,0 days 00:01:32.719000,199.609,1
170,26,22,11,16,3,6.0,60,0 days 01:40:31.713000,6031713.0,21.0,11.0,0 days 00:01:33.386000,198.183,1
171,26,8,6,3,4,5.0,59,0 days 00:00:00,,18.0,1.0,0 days 00:01:32.150000,200.842,11
172,26,5,1,1,5,4.0,59,0 days 00:00:00,,17.0,5.0,0 days 00:01:33.130000,198.72799999999998,11
173,26,4,4,6,6,3.0,59,0 days 00:00:00,,17.0,6.0,0 days 00:01:33.133000,198.722,11
174,26,15,7,14,7,2.0,59,0 days 00:00:00,,22.0,13.0,0 days 00:01:33.808000,197.292,11
175,26,6,3,15,8,1.0,59,0 days 00:00:00,,21.0,14.0,0 days 00:01:34.277000,196.31,11
176,26,3,3,20,9,0.0,59,0 days 00:00:00,,21.0,16.0,0 days 00:01:34.797000,195.234,11
177,26,17,9,2,10,0.0,59,0 days 00:00:00,,17.0,4.0,0 days 00:01:32.952000,199.109,11
178,26,7,5,13,11,0.0,59,0 days 00:00:00,,21.0,9.0,0 days 00:01:33.367000,198.22400000000002,11
179,26,10,7,12,12,0.0,59,0 days 00:00:00,,19.0,15.0,0 days 00:01:34.610000,195.61900000000003,11
180,26,13,6,9,13,0.0,58,0 days 00:00:00,,19.0,8.0,0 days 00:01:33.257000,198.458,12
181,26,9,2,10,14,0.0,39,0 days 00:00:00,,22.0,12.0,0 days 00:01:33.539000,197.859,20
182,26,18,11,17,15,0.0,38,0 days 00:00:00,,21.0,10.0,0 days 00:01:33.376000,198.205,20
183,26,12,4,7,16,0.0,35,0 days 00:00:00,,21.0,7.0,0 days 00:01:33.203000,198.57299999999998,20
184,26,21,10,19,17,0.0,16,0 days 00:00:00,,21.0,17.0,0 days 00:01:34.930000,194.96,20
185,26,16,10,18,18,0.0,10,0 days 00:00:00,,5.0,18.0,0 days 00:01:38.160000,188.545,20
186,26,20,5,8,19,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
187,26,14,9,11,20,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
188,27,1,1,1,1,10.0,67,0 days 01:31:20.874000,5480874.0,17.0,2.0,0 days 00:01:16.039000,216.55200000000002,1
189,27,12,4,17,2,8.0,67,0 days 01:31:26.460000,5486460.0,66.0,9.0,0 days 00:01:16.910000,214.09900000000002,1
190,27,13,6,2,3,6.0,67,0 days 01:31:30.213000,5490213.0,19.0,5.0,0 days 00:01:16.502000,215.24099999999999,1
191,27,2,2,12,4,5.0,67,0 days 01:31:30.699000,5490699.0,52.0,1.0,0 days 00:01:15.987000,216.7,1
